nom_table	nom_champ1	nom_champ2	res_min	res_max	ratio_distinct	nb_valeur_distincts_50	nb_valeur_distincts_500	nb_valeur_distincts_5000	statut
b_i_ass_i_p_ev_iard_solvency	statut_der_emiss	libel_der_emiss	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ass_v_p_ev_vie_solvency	statut_der_emiss	libel_der_emiss	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ass_v_p_ev_vie_solvency	statut_der_emiss	libel_der_emiss	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_contrats	type_de_sortie	libelle_type_sortie	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_contrats	type_de_sortie	libelle_type_sortie	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_i_tcga_i_dmtaxeint	ureidec_h	urelibl_f	-0.2630330275362819	-1.060928102487147	1.0	1	0	0	0
b_t_bmg_t_ref_borne_mt_mass_sal	cd_borne_mt_mass_sal	l_borne_mt_mass_sal	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_borne_mt_mass_sal	cd_borne_mt_mass_sal	l_borne_mt_mass_sal	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_suivi_sinstr	cd_suivi_sinstr	l_suivi_sinstr	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_suivi_sinstr	cd_suivi_sinstr	l_suivi_sinstr	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_i_gps_i_ref_iard_dwbaxeint_h	peridec_uc	cirlibl_a	-0.251591484297761	-1.1942377545262877	0.5625	1	0	0	0
b_v_ngo_t_provision_rap	famille_comptable	position	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_v_p3i_r_indiv	famille_comptable	position	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_v_ngo_t_contrat	typ_prime_base	lib_type_rachat	0.6636251474458666	0.5067628857405905	1.0	1	0	0	0
b_v_apg_r_cv_tttauxcontrat	cdgaran	bascalcul	0.09044617889409697	-0.2945548183116345	1.0909090909090908	1	0	0	0
b_v_dmr_r_ttrettaux	cdgaran	bascalcul	-0.06672893149607027	-0.8372367814109511	1.0909090909090908	1	0	0	0
b_t_bmg_t_ref_param_flux	cd_interm_param	l_cli_agent	0.43480913311257463	0.13092833358751388	0.9890510948905109	0	0	1	0
b_v_gb2k_r_contrats	flag_garantie_deces_hpep	libelle_typo_produit	0.4218983546909788	0.49639801543817585	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	insidec_b	pernoml_uf	0.06994634805311405	0.3086484063812354	1.0	1	0	0	0
b_v_ngo_t_contrat	cd_sexe_benef	seg_tarif_type_1_fumer	-0.6018237145067904	0.5067628857405905	1.0	1	0	0	0
b_v_ngo_t_contrat	flag_proroge	seg_tarif_type_1_fumer	-0.6018237145067904	0.5067628857405905	1.0	1	0	0	0
b_v_gbp_e_t5_fin	f_newb	systeme	0.7448714099334387	0.5067628857405905	1.0	1	0	0	0
b_i_tcga_i_dmtaxeint	ureidec_f	reglibl_s	-1.8418064720146405	-2.4960297536118863	1.0	1	0	0	0
b_t_bmg_t_ref_sect_actvt	cd_sect_actvt	l_sect_actvt	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_t_bmg_t_ref_sect_actvt	cd_sect_actvt	l_sect_actvt	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gbp_e_t5_fin	f_dates_dec	l_typ_produit	0.14606346117479946	0.4944818209284853	1.0	1	0	0	0
rst_ngo_t_s_prestation	cd_situation_sous_dossier_agi	lb_branche_mere	0.0	0.0	0.0	0	0	0	0
b_v_cv_r_tctypmont	cdtypmont	lbtypmont	0.6604581719664715	0.5067628857405905	0.9855072463768116	0	1	0	1
b_v_cv_r_tctypmont	cdtypmont	lbtypmont	0.6604581719664715	0.5067628857405905	0.9855072463768116	0	1	0	1
b_v_tcol_r_dm_prestation_prev	cdtypmont	lbtypmont	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_tcol_r_dm_prestation_prev	cdtypmont	lbtypmont	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_m_nps_t_hierarchie_adm	level2_id	level2_firstname	0.7019076581795447	0.42864660356055995	1.0	1	0	0	0
b_m_nps_t_hierarchie_adm	level2_id	level2_firstname	0.7019076581795447	0.42864660356055995	1.0	1	0	0	0
b_v_gbp_e_t5_fin	f_pbdif	reseau_new	-0.08895668255399157	0.5067628857405905	1.0	1	0	0	0
b_v_gb2k_e_actes_de_gestion_m2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_actes_de_gestion_m2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_actes_de_gestion_p2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_actes_de_gestion_p2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_actes_de_gestion_m2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_actes_de_gestion_m2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_actes_de_gestion_p2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_r_actes_de_gestion_p2	code_type_acte	type_acte	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ais_r_provision	cd_support	lb_support	0.7448714099334387	0.5067628857405905	1.063231850117096	0	1	0	1
b_v_ais_r_provision	cd_support	lb_support	0.7448714099334387	0.5067628857405905	1.063231850117096	0	1	0	1
b_v_cv_r_tctypmvt	cdtypmvt	lbtypmvt	0.2950626873557963	0.5067628857405905	0.9818731117824774	0	1	0	1
b_v_cv_r_tctypmvt	cdtypmvt	lbtypmvt	0.2950626873557963	0.5067628857405905	0.9818731117824774	0	1	0	1
b_v_tcol_r_dm_prestation_prev	cdtypmvt	lbtypmvt	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_tcol_r_dm_prestation_prev	cdtypmvt	lbtypmvt	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_cv_r_tctyptaux	cdtyptaux	lbtyptauxcourt	0.7448714099334387	0.5067628857405905	1.0	0	1	0	1
b_v_cv_r_tctyptaux	cdtyptaux	lbtyptauxcourt	0.7448714099334387	0.5067628857405905	1.0	0	1	0	1
b_v_ngo_t_contrat	cd_opt_secu	lib_opt_secu	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_ngo_t_contrat	cd_opt_secu	lib_opt_secu	0.7448714099334387	0.5067628857405905	1.0	1	0	0	1
b_v_gb2k_e_contrats	flag_risque_renonciation	libelle_typo_produit	-1.1126308471158601	0.4885590378985342	1.0	1	0	0	0
b_v_gb2k_r_contrats	flag_risque_renonciation	libelle_typo_produit	-0.0009558664044217879	0.49639801543817585	1.0	1	0	0	0
